-109.32,41.233,0.093643
-109.32,41.323,0.094906
-109.33,41.413,0.095261
-109.33,41.503,0.09144
-109.34,41.593,0.082856
-109.34,41.682,0.070807
-109.35,41.772,0.059089
-109.36,41.862,0.048923
-109.36,41.952,0.04131
-109.37,42.042,0.036433
-109.37,42.131,0.034118
-109.38,42.221,0.033462
-109.38,42.311,0.03484
-109.39,42.401,0.037648
-109.39,42.491,0.040929
-109.4,42.581,0.043596
-109.4,42.67,0.044515
-109.41,42.76,0.042774
-109.41,42.85,0.038049
-109.42,42.94,0.030943
-109.43,43.03,0.023047
-109.43,43.12,0.016673
-109.44,43.209,0.014239
-109.44,43.299,0.017401
-109.45,43.389,0.026283
-109.45,43.479,0.039789
-109.46,43.569,0.054129
-109.46,43.659,0.066103
-109.47,43.748,0.072826
-109.48,43.838,0.076519
-109.48,43.928,0.079446
-109.49,44.018,0.08167
-109.49,44.108,0.083484
-109.5,44.198,0.085077
-109.5,44.287,0.086699
-109.51,44.377,0.088632
-109.52,44.467,0.091131
-109.52,44.557,0.094377
-109.53,44.647,0.09846
-109.53,44.737,0.10337
-109.54,44.826,0.10886
-109.55,44.916,0.11414
-109.55,45.006,0.11746
-109.56,45.096,0.11639
-109.56,45.186,0.10941
-109.57,45.275,0.097288
-109.58,45.365,0.082406
-109.58,45.455,0.067265
-109.59,45.545,0.053808
-109.59,45.635,0.043559
-109.6,45.724,0.037308
-109.61,45.814,0.034746
-109.2,41.237,0.091716
-109.2,41.327,0.093419
-109.21,41.417,0.094715
-109.21,41.507,0.092433
-109.22,41.596,0.082016
-109.22,41.686,0.068965
-109.23,41.776,0.056875
-109.23,41.866,0.046535
-109.24,41.956,0.038921
-109.25,42.046,0.034137
-109.25,42.135,0.031996
-109.26,42.225,0.032109
-109.26,42.315,0.034171
-109.27,42.405,0.037773
-109.27,42.495,0.041941
-109.28,42.584,0.045535
-109.28,42.674,0.047279
-109.29,42.764,0.046005
-109.29,42.854,0.041124
-109.3,42.944,0.033167
-109.3,43.034,0.023894
-109.31,43.124,0.015971
-109.31,43.213,0.012329
-109.32,43.303,0.015035
-109.32,43.393,0.024192
-109.33,43.483,0.038409
-109.34,43.573,0.053586
-109.34,43.663,0.066661
-109.35,43.752,0.072856
-109.35,43.842,0.076704
-109.36,43.932,0.079933
-109.36,44.022,0.082394
-109.37,44.112,0.0843
-109.37,44.202,0.08584
-109.38,44.292,0.087317
-109.38,44.381,0.089066
-109.39,44.471,0.09138
-109.4,44.561,0.094437
-109.4,44.651,0.098304
-109.41,44.741,0.10302
-109.41,44.83,0.10854
-109.42,44.92,0.11436
-109.42,45.01,0.11985
-109.43,45.1,0.1199
-109.44,45.19,0.1125
-109.44,45.28,0.098143
-109.45,45.369,0.082308
-109.45,45.459,0.066424
-109.46,45.549,0.05244
-109.46,45.639,0.041826
-109.47,45.728,0.035425
-109.48,45.818,0.033045
-109.08,41.241,0.086415
-109.08,41.331,0.087863
-109.09,41.421,0.08889
-109.09,41.51,0.086275
-109.1,41.6,0.076144
-109.1,41.69,0.063366
-109.11,41.78,0.051619
-109.11,41.87,0.041633
-109.12,41.959,0.034334
-109.12,42.049,0.030031
-109.13,42.139,0.028734
-109.13,42.229,0.029874
-109.14,42.319,0.033298
-109.14,42.409,0.038311
-109.15,42.498,0.044033
-109.15,42.588,0.049304
-109.16,42.678,0.052677
-109.16,42.768,0.052558
-109.17,42.858,0.047865
-109.17,42.948,0.039016
-109.18,43.038,0.028069
-109.19,43.127,0.017127
-109.19,43.217,0.011222
-109.2,43.307,0.012924
-109.2,43.397,0.022184
-109.21,43.487,0.036381
-109.21,43.577,0.051195
-109.22,43.666,0.063092
-109.22,43.756,0.071303
-109.23,43.846,0.076335
-109.23,43.936,0.080536
